7.0,7757
8.0,8366
9.0,8975
10.0,9582
11.0,10190
12.0,10796
13.0,11402
14.0,12007
15.0,12611
16.0,13215
17.0,13817
18.0,14419
19.0,15021
20.0,15621
21.0,16221
22.0,16820
23.0,17418
24.0,18015
25.0,18612
26.0,19207
27.0,19802
28.0,20397
29.0,20990
30.0,21583
31.0,22174
32.0,22765
33.0,23356
34.0,23945
35.0,24534
36.0,25122
37.0,25709
38.0,26296
39.0,26882
40.0,27467
41.0,28052
42.0,28636
43.0,29219
44.0,29802
45.0,30384
46.0,30965
47.0,31546
48.0,32126
49.0,32705
50.0,33284
51.0,33862
52.0,34440
53.0,35017
54.0,35594
55.0,36170
56.0,36745
57.0,37320
58.0,37895
59.0,38469
60.0,39042
61.0,39615
62.0,40187
63.0,40759
64.0,41331
65.0,41902
66.0,42473
67.0,43043
68.0,43612
69.0,44182
70.0,44751
71.0,45319
72.0,45888
73.0,46455
74.0,47023
75.0,47590
76.0,48157
77.0,48723
78.0,49289
79.0,49855
80.0,50421
81.0,50986
82.0,51551
83.0,52116
84.0,52680
85.0,53244
86.0,53808
87.0,54372
88.0,54936
89.0,55499
90.0,56062
91.0,56625
92.0,57188
93.0,57750
94.0,58313
95.0,58875
96.0,59437
97.0,59999
98.0,60561
99.0,61123
100.0,61684
101.0,62246
102.0,62807
103.0,63368
104.0,63929
105.0,64490
106.0,65051
107.0,65612
