7.0,4886
8.0,5293
9.0,5732
10.0,6207
11.0,6720
12.0,7272
13.0,7867
14.0,8507
15.0,9193
16.0,9930
17.0,10718
18.0,11561
19.0,12461
20.0,13419
21.0,14439
22.0,15520
23.0,16666
24.0,17876
25.0,19151
26.0,20491
27.0,21897
28.0,23366
29.0,24897
30.0,26489
31.0,28137
32.0,29839
33.0,31591
34.0,33386
35.0,35221
36.0,37088
37.0,38982
38.0,40895
39.0,42820
40.0,44750
41.0,46678
42.0,48596
43.0,50497
44.0,52374
45.0,54221
46.0,56030
47.0,57798
48.0,59518
49.0,61187
50.0,62800
51.0,64355
52.0,65849
53.0,67280
54.0,68647
55.0,69950
56.0,71188
57.0,72361
58.0,73470
59.0,74517
60.0,75502
61.0,76427
62.0,77295
63.0,78106
64.0,78863
65.0,79569
66.0,80225
67.0,80834
68.0,81399
69.0,81921
70.0,82404
71.0,82849
72.0,83259
73.0,83637
74.0,83983
75.0,84302
76.0,84594
77.0,84861
78.0,85106
79.0,85330
80.0,85535
81.0,85722
82.0,85892
83.0,86048
84.0,86191
85.0,86320
86.0,86438
87.0,86546
88.0,86644
89.0,86734
90.0,86815
91.0,86889
92.0,86957
93.0,87018
94.0,87074
95.0,87125
96.0,87171
97.0,87214
98.0,87252
99.0,87287
100.0,87319
101.0,87348
102.0,87374
103.0,87398
104.0,87420
105.0,87440
106.0,87458
107.0,87474
