6.3,5460
7.2,4491
8.0,4379
8.9,4059
9.8,3887
10.7,3722
11.6,3564
12.4,3413
13.3,3245
14.2,3085
15.1,2954
16.0,2788
16.8,2632
17.7,2484
18.6,2327
19.5,2197
20.4,2058
21.2,1915
22.1,1794
23.0,1657
23.9,1541
24.8,1434
25.6,1324
26.5,1205
27.4,1113
28.1,1054
29.2,883
30.0,821
30.9,737
31.8,661
32.4,606
33.9,498
34.4,437
35.9,370
36.8,335
37.7,287
38.6,249
39.4,218
40.3,190
41.2,162
42.1,141
43.0,119
43.8,104
44.7,89
45.6,77
46.5,66
47.4,56
48.2,49
49.1,43
50.0,38
50.9,33
51.8,29
52.6,26
53.5,24
54.4,21
55.3,19
56.2,18
57.0,17
57.9,15
58.8,15
59.7,14
60.6,13
61.4,12
62.3,12
63.2,11
64.1,11
65.0,11
65.8,10
66.7,10
67.6,9
68.5,9
69.4,9
70.2,9
71.1,9
72.0,8
72.9,8
73.8,8
74.6,8
75.5,7
76.4,7
77.3,7
78.2,7
79.1,7
79.6,7
81.1,8
82.0,8
82.9,8
83.7,8
84.6,8
85.5,8
86.4,8
87.3,8
97.0,5
97.8,5
98.7,5
99.6,5
