7.2,824
8.0,886
8.9,932
9.8,988
10.7,1047
11.6,1110
12.4,1159
13.3,1211
14.2,1265
15.1,1321
16.0,1380
16.8,1453
17.7,1506
18.6,1551
19.5,1597
20.4,1656
21.2,1705
22.1,1768
23.0,1821
23.9,1888
24.8,1930
25.6,2002
26.5,2031
27.4,2107
28.3,2153
29.2,2201
30.0,2283
30.9,2316
31.8,2368
32.7,2438
33.6,2474
34.4,2547
35.3,2603
36.2,2642
37.1,2700
38.0,2780
38.9,2801
39.7,2863
40.6,2926
41.5,2970
42.4,3035
43.3,3103
44.1,3148
45.0,3172
45.9,3242
46.8,3314
47.7,3387
48.5,3388
49.4,3463
50.3,3540
51.2,3592
52.1,3619
52.9,3672
53.8,3754
54.7,3837
55.6,3865
56.5,3866
57.3,3895
58.2,4039
59.1,4069
60.0,4130
60.9,4160
61.7,4222
62.6,4315
63.5,4347
64.4,4412
65.3,4412
66.1,4510
67.0,4544
67.9,4611
68.8,4679
69.7,4714
70.5,4749
71.4,4819
72.3,4926
73.2,4927
74.1,4999
74.9,5037
75.8,5074
76.7,5149
77.6,5225
78.5,5264
79.3,5303
80.2,5382
81.1,5383
82.0,5502
82.9,5543
83.7,5625
84.6,5626
85.5,5709
86.4,5751
87.3,5752
88.1,5880
89.0,5881
89.9,6011
90.8,6012
91.7,6057
92.5,6146
93.4,6147
94.3,6193
95.2,6285
96.1,6377
97.0,6425
97.8,6426
98.7,6521
99.5,6175
