7.5,2391
8.3,2306
9.2,2224
10.1,2130
11.0,2070
11.9,1996
12.7,1926
13.6,1844
14.5,1779
15.4,1716
16.3,1643
17.1,1596
17.7,1608
18.9,1464
19.8,1422
20.7,1372
21.5,1323
22.4,1267
23.3,1213
24.2,1170
25.1,1129
25.9,1081
26.8,1050
27.7,1013
28.6,970
29.5,929
30.3,896
31.2,858
32.1,822
33.0,793
33.9,764
34.7,732
35.6,701
36.5,681
37.4,652
38.3,625
39.1,602
40.0,581
40.9,556
41.8,533
42.7,510
43.5,489
44.4,468
45.3,451
46.2,435
47.1,417
47.9,399
48.8,382
49.7,366
50.6,353
51.5,340
52.3,326
53.2,312
54.1,299
55.0,286
55.9,274
56.8,264
57.6,253
58.5,242
59.4,234
60.3,224
61.2,214
62.0,205
62.9,198
63.8,191
64.7,183
65.6,175
66.4,168
67.3,162
68.2,156
69.1,149
70.0,143
70.8,139
71.7,133
72.6,127
73.5,122
74.4,118
75.2,113
76.1,110
77.0,106
77.9,102
78.8,98
79.6,87
96.7,50
97.5,50
98.4,49
99.3,49
99.9,49
