7.5,106386
8.3,106405
9.2,106423
10.1,106441
11.0,105691
11.9,101948
12.7,101965
13.6,100516
14.5,99807
15.4,99824
16.3,99121
17.1,97711
18.0,97728
18.9,93586
19.8,93602
20.7,93619
21.5,90303
22.4,89666
23.3,89682
24.2,86506
25.1,85896
25.9,85911
26.8,82270
27.7,82284
28.6,79947
29.5,78810
30.3,77129
31.2,75483
32.1,75496
33.0,72297
33.9,72309
34.7,69245
35.6,69256
36.5,66321
37.4,66333
38.3,63522
39.1,63532
40.0,60840
40.9,59975
41.8,58271
42.7,57028
43.5,55812
44.4,53835
45.3,52686
46.2,51190
47.1,49736
47.9,48675
48.8,47292
49.7,45618
50.6,44969
51.5,43063
52.3,42144
53.2,41245
54.1,40365
54.7,40370
56.2,36486
57.0,35707
57.9,34693
58.8,33464
59.7,32279
60.6,31362
61.4,30252
62.3,29180
63.2,28352
64.1,27150
65.0,26379
65.8,25630
66.7,24543
67.6,23503
68.5,22671
69.4,21868
70.2,20941
71.1,20199
72.0,19484
72.9,18658
73.8,17997
74.6,17360
75.5,16624
76.4,15920
77.3,15356
78.2,14812
79.1,14184
79.9,13485
80.8,13007
81.7,12456
82.6,11928
83.5,11423
84.3,10939
85.2,10475
86.1,10031
87.0,9606
87.9,9132
88.7,8745
89.6,8314
90.5,7962
91.4,7624
92.3,7249
93.1,6941
94.0,6599
94.9,6319
95.8,6052
96.7,5795
97.5,5470
98.4,5238
99.0,5163
