8.9,60035
9.7,64555
10.7,69421
11.6,75194
12.7,82640
13.9,89517
16.5,111312
17.3,116274
18.3,127786
19.5,138420
20.2,147769
22.4,170887
23.6,189176
24.5,197616
25.4,212503
26.2,223599
27.4,243968
28.0,249358
29.5,278068
30.3,290474
31.2,305641
32.0,323928
33.3,345847
34.2,363904
34.7,369259
36.5,411798
37.1,420896
38.1,439687
39.1,466022
39.9,479796
43.3,547001
44.4,571438
45.3,584097
46.2,605751
47.1,623673
50.3,680760
51.2,695840
52.1,711255
52.6,711336
54.1,743158
54.7,743243
57.6,776715
58.5,793921
59.4,811508
60.3,811648
61.0,811764
64.7,848443
65.6,848590
66.4,848736
67.3,848882
68.8,849125
71.4,887314
72.3,887467
73.2,887620
74.1,887772
74.9,887925
75.8,888078
76.7,901197
77.6,927860
78.5,928019
79.3,928179
80.2,928339
81.1,928498
82.0,928658
82.9,928818
83.7,928978
84.6,929138
85.5,929298
86.4,929458
87.3,929617
88.1,929777
89.0,929937
89.9,930097
90.8,930258
91.7,930418
92.5,930578
93.4,930738
94.3,930898
95.2,931058
96.1,931218
97.0,931379
97.8,931539
98.7,931699
99.4,942016
