7.2,289
8.0,309
8.9,332
9.8,360
10.7,390
11.6,425
12.4,464
13.3,506
14.2,553
15.1,607
16.0,667
16.8,734
17.7,812
18.6,899
19.5,995
20.4,1110
21.2,1237
22.1,1370
23.0,1539
23.9,1728
24.8,1913
25.6,2180
26.5,2396
27.4,2710
28.3,3088
29.2,3469
30.0,3840
30.9,4376
31.8,5284
32.7,5807
33.6,6475
34.3,6912
35.3,7934
36.2,9173
37.1,10228
38.0,11911
38.9,13573
39.7,15466
40.6,17370
41.5,19228
42.4,21911
43.3,24968
44.1,28246
44.7,29719
46.2,38309
47.1,43026
47.9,46943
48.8,50333
49.7,54519
50.6,64698
51.5,77448
52.3,85113
53.2,96287
54.1,105052
55.0,117986
55.9,130606
56.8,142496
57.6,156598
58.5,170854
59.4,186408
60.3,200451
61.2,215552
62.0,231791
62.9,249253
63.8,262267
64.7,279989
65.6,292481
66.4,307752
67.3,321482
68.2,335825
69.1,348275
70.0,361187
70.8,369188
71.7,380111
72.6,391357
73.5,397138
74.4,405935
75.2,414928
76.1,418017
77.0,424192
77.9,433589
78.8,433664
79.6,436893
80.5,443347
81.4,443423
82.3,453246
83.2,453324
84.0,453402
84.9,453480
85.8,453558
86.7,453636
87.6,453714
88.4,453792
89.3,460495
90.2,463924
91.1,464004
92.0,464084
92.8,464164
93.7,464244
94.6,464323
95.5,474609
96.4,474691
97.2,474773
98.1,474854
99.0,474936
99.6,474991
