param,paper_symbol,output,timepoint,prcc,pvalue,significant,n_samples,n_params
c_base_div,k_c,C,35,0.9896292841289057,0.0,True,998,35
c_boost_from_P,mu_c,C,35,0.03619333125734605,0.26158488887563885,False,998,35
c_kill_by_E,d_c,C,35,-0.10159371788524693,0.0015863787263004172,True,998,35
c_kill_by_N,b_c,C,35,-0.06222662432160066,0.05343370487157067,False,998,35
c_R_blocks_E,r_1,C,35,0.038588658499650944,0.23130441269100524,False,998,35
K_C,1/a_c,C,35,0.8611710481415455,5.9579872731262315e-285,True,998,35
p_base_div,k_p,C,35,-0.061415768448724886,0.05662636405331491,False,998,35
p_boost_from_C,f_p,C,35,0.006727034920050669,0.8347646483763966,False,998,35
p_boost_from_C_K,mu_p,C,35,0.02214858022524146,0.49216535625867863,False,998,35
p_base_death,lambda_p,C,35,-0.03785601045451284,0.24028987118115935,False,998,35
K_P,1/a_p,C,35,-0.023704161971359414,0.4622642844183862,False,998,35
e_base_birth,a_e,C,35,-0.03032613586523996,0.3469246768725326,False,998,35
e_help_from_H,p_e,C,35,-0.008317544750236888,0.7964721730044966,False,998,35
e_help_from_H_K,g_e,C,35,-0.012605768854880836,0.6958740826110124,False,998,35
e_inact_by_C,c_e,C,35,-0.06741922998321152,0.03635615932746408,False,998,35
e_suppr_by_R,delta_e,C,35,-0.019582134674529968,0.5436768250128908,False,998,35
e_base_death,b_e,C,35,0.022851509442132552,0.4785270258644656,False,998,35
n_base_birth,a_n,C,35,-0.05043358315638683,0.11761955252898851,False,998,35
n_help_from_H,p_n,C,35,0.007809918683820734,0.8086452135530341,False,998,35
n_help_from_H_K,g_n,C,35,-0.004679112694660473,0.8846390023855006,False,998,35
n_inact_by_C,c_n,C,35,0.0308346443317379,0.3388953991741743,False,998,35
n_suppr_by_R,delta_n,C,35,0.005098121739589898,0.8743906709211527,False,998,35
n_base_death,b_n,C,35,0.08468342369240948,0.008523538002408852,True,998,35
h_base_birth,a_h,C,35,0.03715281272352403,0.24914247518501442,False,998,35
h_self_act,p_h,C,35,0.04205416447544935,0.19203063891204136,False,998,35
h_self_act_K,g_h,C,35,-0.01675672509227296,0.6033214056543328,False,998,35
h_suppr_by_R,delta_h,C,35,-0.037433487623229275,0.2455821202761008,False,998,35
h_base_death,b_h,C,35,-0.016827521814181602,0.6017915919162352,False,998,35
r_base_src,a,C,35,0.022458713115888464,0.4861225839055725,False,998,35
r_induced_by_E,a_r,C,35,-0.022003330096315627,0.4950092484086933,False,998,35
r_induced_by_H,b_r,C,35,-0.04771372799940045,0.13877891058205888,False,998,35
r_prolif_by_H,p_r,C,35,0.010489361643549463,0.744981455046773,False,998,35
r_prolif_by_H_K,g_r,C,35,-0.015052524373146463,0.6406600718854929,False,998,35
r_cleared_by_N,r,C,35,0.007098059468150331,0.8257933792153866,False,998,35
r_decay,delta_r,C,35,0.006210707563469827,0.8472848668591877,False,998,35
c_base_div,k_c,C,70,0.8392596178940904,8.42515493819947e-257,True,998,35
c_boost_from_P,mu_c,C,70,0.10962334908081138,0.0006508489002207062,True,998,35
c_kill_by_E,d_c,C,70,-0.047240675689808935,0.14274085624033844,False,998,35
c_kill_by_N,b_c,C,70,0.020392070542583813,0.5271357145313356,False,998,35
c_R_blocks_E,r_1,C,70,0.015597767534177215,0.6286087147908548,False,998,35
K_C,1/a_c,C,70,0.9306640102811186,0.0,True,998,35
p_base_div,k_p,C,70,-0.016466733103073554,0.6096058503409962,False,998,35
p_boost_from_C,f_p,C,70,0.07579258909781962,0.018594227936085974,False,998,35
p_boost_from_C_K,mu_p,C,70,0.005295947333258835,0.8695593475485562,False,998,35
p_base_death,lambda_p,C,70,-0.003952470278442146,0.9024563733614759,False,998,35
K_P,1/a_p,C,70,-0.006724071438634156,0.8348363926733162,False,998,35
e_base_birth,a_e,C,70,0.02555052422430549,0.42812649319491314,False,998,35
e_help_from_H,p_e,C,70,-0.018382870687900288,0.5686333217870201,False,998,35
e_help_from_H_K,g_e,C,70,-0.01505105192298269,0.6406927473485665,False,998,35
e_inact_by_C,c_e,C,70,-0.059523582045873394,0.06469653406720065,False,998,35
e_suppr_by_R,delta_e,C,70,0.00381570196049267,0.9058157215743307,False,998,35
e_base_death,b_e,C,70,0.009273203925069274,0.7736909951734666,False,998,35
n_base_birth,a_n,C,70,-0.015274278976780721,0.6357470359098288,False,998,35
n_help_from_H,p_n,C,70,0.039093098751652816,0.22525795095963938,False,998,35
n_help_from_H_K,g_n,C,70,0.017646895164705693,0.5842147558436469,False,998,35
n_inact_by_C,c_n,C,70,0.01459402322859136,0.6508681067630119,False,998,35
n_suppr_by_R,delta_n,C,70,-0.0009434409584010329,0.9766617860855307,False,998,35
n_base_death,b_n,C,70,0.024716775158215538,0.4433571492579683,False,998,35
h_base_birth,a_h,C,70,0.07188530448977125,0.025620766891480372,False,998,35
h_self_act,p_h,C,70,0.05052542680035581,0.11695184084657315,False,998,35
h_self_act_K,g_h,C,70,-0.0194927429314927,0.545518125905911,False,998,35
h_suppr_by_R,delta_h,C,70,-0.04589465741799546,0.1544884952370094,False,998,35
h_base_death,b_h,C,70,0.00671747437163024,0.8349961090576811,False,998,35
r_base_src,a,C,70,-0.02381427761302516,0.4601867229441893,False,998,35
r_induced_by_E,a_r,C,70,0.0017291207385073002,0.9572405276240515,False,998,35
r_induced_by_H,b_r,C,70,-0.0006141993932355151,0.9848050979292762,False,998,35
r_prolif_by_H,p_r,C,70,0.016006702666178603,0.6196343146226257,False,998,35
r_prolif_by_H_K,g_r,C,70,0.0023053260821056026,0.9430127194610743,False,998,35
r_cleared_by_N,r,C,70,0.009324006734285862,0.7724851897646544,False,998,35
r_decay,delta_r,C,70,0.002592688720067992,0.9359235830812841,False,998,35
c_base_div,k_c,C,100,0.7152559150463458,7.2490062466652125e-152,True,998,35
c_boost_from_P,mu_c,C,100,0.1724465041318022,7.138758487755828e-08,True,998,35
c_kill_by_E,d_c,C,100,-0.03133580748771029,0.331099579564759,False,998,35
c_kill_by_N,b_c,C,100,0.006873476030768561,0.8312211095699283,False,998,35
c_R_blocks_E,r_1,C,100,0.01924786717122108,0.5505778713890697,False,998,35
K_C,1/a_c,C,100,0.9933379673957434,0.0,True,998,35
p_base_div,k_p,C,100,0.006955426342884017,0.829239589222216,False,998,35
p_boost_from_C,f_p,C,100,0.13344805698884346,3.2306092384063675e-05,True,998,35
p_boost_from_C_K,mu_p,C,100,-0.008345763525653726,0.7957968963527048,False,998,35
p_base_death,lambda_p,C,100,-0.003064597198738174,0.9242930204487434,False,998,35
K_P,1/a_p,C,100,0.03203861755182669,0.32036375320805544,False,998,35
e_base_birth,a_e,C,100,0.03404235190058366,0.29101686333075455,False,998,35
e_help_from_H,p_e,C,100,-0.012942306536090657,0.6881751928719299,False,998,35
e_help_from_H_K,g_e,C,100,-0.020084094543077604,0.5333950974435538,False,998,35
e_inact_by_C,c_e,C,100,-0.044963977531173815,0.1630304640490315,False,998,35
e_suppr_by_R,delta_e,C,100,0.002106087253039302,0.9479305530960178,False,998,35
e_base_death,b_e,C,100,-0.010419916378239559,0.7466117693533261,False,998,35
n_base_birth,a_n,C,100,-0.006382016541622456,0.8431264317670304,False,998,35
n_help_from_H,p_n,C,100,0.029773950847648768,0.35577933779989446,False,998,35
n_help_from_H_K,g_n,C,100,0.04656689076212101,0.14853290172990818,False,998,35
n_inact_by_C,c_n,C,100,0.0023204575481248634,0.9426393140753182,False,998,35
n_suppr_by_R,delta_n,C,100,-0.007076278465007762,0.8263194228293703,False,998,35
n_base_death,b_n,C,100,0.014272256321466297,0.6580712891592686,False,998,35
h_base_birth,a_h,C,100,0.06548457576833179,0.042079591776905505,False,998,35
h_self_act,p_h,C,100,0.04604906260096989,0.1531047818933674,False,998,35
h_self_act_K,g_h,C,100,-0.020164667980768713,0.5317538859633604,False,998,35
h_suppr_by_R,delta_h,C,100,-0.056993150357191845,0.07694644020471955,False,998,35
h_base_death,b_h,C,100,0.000773352719750819,0.9808684218801873,False,998,35
r_base_src,a,C,100,-0.034022295749834466,0.2913013635813838,False,998,35
r_induced_by_E,a_r,C,100,0.01579146849305971,0.6243508558766782,False,998,35
r_induced_by_H,b_r,C,100,0.011682211087900744,0.7171613864345265,False,998,35
r_prolif_by_H,p_r,C,100,0.019680701063595995,0.5416501293653886,False,998,35
r_prolif_by_H_K,g_r,C,100,0.007817869424567808,0.8084541869179418,False,998,35
r_cleared_by_N,r,C,100,0.00365120094188256,0.9098584742266773,False,998,35
r_decay,delta_r,C,100,0.027282007521313115,0.3974859333590346,False,998,35
c_base_div,k_c,P,35,0.7307410780941656,1.1156912359133285e-161,True,998,35
c_boost_from_P,mu_c,P,35,0.058115381322994604,0.07129873749543668,False,998,35
c_kill_by_E,d_c,P,35,0.033380046224770595,0.30051053773522723,False,998,35
c_kill_by_N,b_c,P,35,-0.0330735424565339,0.3049730358015524,False,998,35
c_R_blocks_E,r_1,P,35,0.02968800716563843,0.35717019233252745,False,998,35
K_C,1/a_c,P,35,0.16134019104692515,4.7567288804634617e-07,True,998,35
p_base_div,k_p,P,35,0.3829808176855417,4.905795785721004e-35,True,998,35
p_boost_from_C,f_p,P,35,0.9764441380408596,0.0,True,998,35
p_boost_from_C_K,mu_p,P,35,-0.8217357204799768,3.5538401936799095e-237,True,998,35
p_base_death,lambda_p,P,35,-0.039497166492178507,0.22049654964994475,False,998,35
K_P,1/a_p,P,35,0.015978822068900993,0.6202444021441778,False,998,35
e_base_birth,a_e,P,35,-0.020612301855478684,0.5226827389945867,False,998,35
e_help_from_H,p_e,P,35,0.007454068445369947,0.8172064649343684,False,998,35
e_help_from_H_K,g_e,P,35,-0.007306924388536544,0.8207529778437314,False,998,35
e_inact_by_C,c_e,P,35,0.018816947658376045,0.5595373683363055,False,998,35
e_suppr_by_R,delta_e,P,35,0.006057508872634816,0.8510072872126548,False,998,35
e_base_death,b_e,P,35,-0.0014452029550912873,0.9642563858098916,False,998,35
n_base_birth,a_n,P,35,0.01042211001420591,0.7465602536446132,False,998,35
n_help_from_H,p_n,P,35,0.02091605029277602,0.5165728946862627,False,998,35
n_help_from_H_K,g_n,P,35,-0.013812636926352345,0.6684155507262382,False,998,35
n_inact_by_C,c_n,P,35,0.06602872520264225,0.04039761072716367,False,998,35
n_suppr_by_R,delta_n,P,35,0.026768067251185742,0.4064399950480594,False,998,35
n_base_death,b_n,P,35,0.035770610795995396,0.2672005192018815,False,998,35
h_base_birth,a_h,P,35,0.07654389870283064,0.0174556902756457,False,998,35
h_self_act,p_h,P,35,0.008692720894174838,0.7875068157290374,False,998,35
h_self_act_K,g_h,P,35,-0.0016531192916847538,0.9591182886390759,False,998,35
h_suppr_by_R,delta_h,P,35,0.017374630015249547,0.5900287720704179,False,998,35
h_base_death,b_h,P,35,-0.035609672720154195,0.26936009863105115,False,998,35
r_base_src,a,P,35,0.009770911105643921,0.7619018381583965,False,998,35
r_induced_by_E,a_r,P,35,-0.03547343358022947,0.2711975736433112,False,998,35
r_induced_by_H,b_r,P,35,0.013733770085705805,0.6701969447214464,False,998,35
