param,paper_symbol,output,timepoint,baseline_value,out_x0.5,elasticity_x0.5,out_x2,elasticity_x2,elasticity
c_R_blocks_E,r_1,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
c_R_blocks_E,r_1,P,35,295.0,422.0,-0.8610169491525423,423.0,0.43389830508474575,-0.2135593220338983
c_R_blocks_E,r_1,P,70,17844.0,22271.0,-0.49618919524770233,21355.0,0.19676081596054695,-0.1497141896435777
c_R_blocks_E,r_1,P,100,43329.0,43501.0,-0.007939255464007939,43480.0,0.003484963881003485,-0.0022271457915022273
c_R_blocks_E,r_1,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
c_R_blocks_E,r_1,E,35,708.0,691.0,0.0480225988700565,663.0,-0.0635593220338983,-0.007768361581920902
c_R_blocks_E,r_1,E,70,9.0,10.0,-0.2222222222222222,9.0,0.0,-0.1111111111111111
c_R_blocks_E,r_1,E,100,9.0,7.0,0.4444444444444444,7.0,-0.2222222222222222,0.1111111111111111
c_R_blocks_E,r_1,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
c_R_blocks_E,r_1,N,35,767.0,682.0,0.22164276401564537,696.0,-0.09256844850065189,0.06453715775749674
c_R_blocks_E,r_1,N,70,146.0,142.0,0.0547945205479452,160.0,0.0958904109589041,0.07534246575342465
c_R_blocks_E,r_1,N,100,56.0,57.0,-0.03571428571428571,46.0,-0.17857142857142858,-0.10714285714285715
c_R_blocks_E,r_1,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
c_R_blocks_E,r_1,H,35,6706.0,6723.0,-0.005070086489710707,6742.0,0.0053683268714583956,0.0001491201908738445
c_R_blocks_E,r_1,H,70,2121.0,2155.0,-0.03206034889203206,2087.0,-0.01603017444601603,-0.024045261669024046
c_R_blocks_E,r_1,H,100,466.0,498.0,-0.13733905579399142,508.0,0.09012875536480687,-0.023605150214592273
c_R_blocks_E,r_1,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
c_R_blocks_E,r_1,R,35,2457.0,2457.0,-0.0,2455.0,-0.000814000814000814,-0.000407000407000407
c_R_blocks_E,r_1,R,70,4481.0,4489.0,-0.0035706315554563713,4473.0,-0.0017853157777281857,-0.0026779736665922785
c_R_blocks_E,r_1,R,100,6176.0,6184.0,-0.0025906735751295338,6170.0,-0.0009715025906735751,-0.0017810880829015544
c_base_div,k_c,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
c_base_div,k_c,C,35,32256.0,13752.0,1.1473214285714286,74783.0,1.318421378968254,1.2328714037698414
c_base_div,k_c,C,70,81315.0,40551.0,1.0026194429072126,87613.0,0.07745188464612925,0.5400356637766709
c_base_div,k_c,C,100,87320.0,69412.0,0.4101694915254237,87644.0,0.0037104901511681174,0.20693999083829592
c_base_div,k_c,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
c_base_div,k_c,P,35,295.0,247.0,0.3254237288135593,586.0,0.9864406779661017,0.6559322033898305
c_base_div,k_c,P,70,17844.0,10564.0,0.8159605469625645,27061.0,0.5165321676754091,0.6662463573189867
c_base_div,k_c,P,100,43329.0,42285.0,0.04818943432804819,43625.0,0.006831452376006832,0.02751044335202751
c_base_div,k_c,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
c_base_div,k_c,E,35,708.0,1043.0,-0.9463276836158192,221.0,-0.6878531073446328,-0.817090395480226
